A1 should do:
 Day:0 Time:8:02 seletced:M1 ,time when there:Day:0 Time:8:03 time to travel:2
 Connection(from:Base to:M1): Direct connection distance:273.0m
Day:0 Time:8:03 Completed on M1 %0.89
Day:0 Time:8:04 Completed on M1 %0.88
Day:0 Time:8:05 Completed on M1 %0.88
Day:0 Time:8:06 Completed on M1 %0.89
Day:0 Time:8:07 Completed on M1 %0.88
Day:0 Time:8:08 Completed on M1 %0.89
Day:0 Time:8:09 Completed on M1 %0.89
Day:0 Time:8:10 Completed on M1 %0.89
Day:0 Time:8:11 Completed on M1 %0.89
Day:0 Time:8:12 Completed on M1 %0.88
Day:0 Time:8:13 Completed on M1 %0.88
Day:0 Time:8:14 Completed on M1 %0.89
Day:0 Time:8:15 Completed on M1 %0.88
Day:0 Time:8:16 Completed on M1 %0.89
Day:0 Time:8:17 Completed on M1 %0.88
Day:0 Time:8:18 Completed on M1 %0.89
Day:0 Time:8:19 Completed on M1 %0.88
Day:0 Time:8:20 Completed on M1 %0.88
Day:0 Time:8:21 Completed on M1 %0.89
Day:0 Time:8:22 Completed on M1 %0.88
Day:0 Time:8:23 Completed on M1 %0.88
Day:0 Time:8:24 Completed on M1 %0.88
Day:0 Time:8:25 Completed on M1 %0.88
Day:0 Time:8:26 Completed on M1 %0.88
Day:0 Time:8:27 Completed on M1 %0.89
Day:0 Time:8:28 Completed on M1 %0.89
Day:0 Time:8:29 Completed on M1 %0.89
Day:0 Time:8:30 Completed on M1 %0.88
Day:0 Time:8:31 Completed on M1 %0.89
Day:0 Time:8:32 Completed on M1 %0.89
Day:0 Time:8:33 Completed on M1 %0.89
Day:0 Time:8:34 Completed on M1 %0.88
Day:0 Time:8:35 Completed on M1 %0.89
Day:0 Time:8:36 Completed on M1 %0.89
Day:0 Time:8:37 Completed on M1 %0.89
Day:0 Time:8:38 Completed on M1 %0.88
Day:0 Time:8:39 Completed on M1 %0.89
Day:0 Time:8:40 Completed on M1 %0.88
Day:0 Time:8:41 Completed on M1 %0.88
Day:0 Time:8:42 Completed on M1 %0.88
Day:0 Time:8:43 Completed on M1 %0.88
Day:0 Time:8:44 Completed on M1 %0.88
Day:0 Time:8:45 Completed on M1 %0.89
Day:0 Time:8:46 Completed on M1 %0.89
Day:0 Time:8:47 Completed on M1 %0.89
Day:0 Time:8:48 Completed on M1 %0.89
Day:0 Time:8:49 Completed on M1 %0.89
Day:0 Time:8:50 Completed on M1 %0.88
Day:0 Time:8:51 Completed on M1 %0.89
Day:0 Time:8:52 Completed on M1 %0.89
Day:0 Time:8:53 Completed on M1 %0.89
Day:0 Time:8:54 Completed on M1 %0.88
